wavelength, reflectance
924.08,0.262
925.43,0.262
926.79,0.262
928.14,0.262
929.5,0.262
930.85,0.262
932.21,0.262
933.56,0.263
934.92,0.263
936.27,0.263
937.63,0.263
938.98,0.263
940.34,0.263
941.7,0.263
943.05,0.263
944.41,0.264
945.76,0.264
947.12,0.264
948.48,0.264
949.83,0.264
951.19,0.264
952.55,0.264
953.9,0.264
955.26,0.265
956.62,0.265
957.98,0.265
959.33,0.265
960.69,0.265
962.05,0.265
963.4,0.265
964.76,0.265
966.12,0.266
967.48,0.266
968.84,0.266
970.19,0.266
971.55,0.266
972.91,0.266
974.27,0.266
975.63,0.266
976.98,0.266
978.34,0.267
979.7,0.267
981.06,0.267
982.42,0.267
983.78,0.267
985.14,0.267
986.5,0.267
987.86,0.267
989.22,0.268
990.57,0.268
991.93,0.268
993.29,0.268
994.65,0.268
996.01,0.268
997.37,0.268
998.73,0.268
1000.09,0.269
1001.45,0.269
1002.81,0.269
1004.17,0.269
1005.53,0.269
1006.89,0.269
